author_name,lovaina_community
"Acosta Herrera, Marialbert",0
"Berzal Herranz, Alfredo",1
"Castanys, Santiago",3
"Delgado Mora, Mario",3
"Estévez García, Antonio Manuel",4
"Gómez Castilla, Jordi",1
"Gómez Díaz, Elena",4
"González Pacanowska, Dolores",4
"Ruiz Pérez, Luis Miguel",4
"González Rey, Elena",3
"Hernández López de Munaín, Cristina",5
"López Giménez, Juan F.",6
"López López, Manuel Carlos",1
"Márquez Ortiz, Ana María",0
"Martín Ibáñez, Javier",0
"Matesanz del Barrio, Fuencisla",2
"Alcina, Antonio",2
"Morales Sánchez, Juan Carlos",3
"Navarro Carretero, Miguel",4
"Oliver Pozo, Francisco Javier",3
"Ortiz Fernández, Lourdes",0
"Pérez Victoria, José María",3
"Sánchez Luque, Francisco José",1
"Sánchez Navarro, Macarena",5
"Suñé, Carlos",5
"Thomas, María del Carmen",1
"Vidal Romero, Antonio",4
"Zubiaur, Mercedes",2
"Sancho López, Jaime",2
